SL No,SysObjectID,Brand,Model,Device Category,Unity Category
1,1.3.6.1.4.1.9,CISCO,CATALYST 4000,Switch,Switch
2,1.3.6.1.4.1.9.1.1,CISCO,GS,Switch,Switch
3,1.3.6.1.4.1.9.1.10,CISCO,2000,Switch,Switch
4,1.3.6.1.4.1.9.1.100,CISCO,763,Router,Router
5,1.3.6.1.4.1.9.1.1000,CISCO,CATALYST SWITCH MODULE 3012,Switch,Switch
6,1.3.6.1.4.1.9.1.1001,CISCO,CATALYST 3125G,Switch,Switch
7,1.3.6.1.4.1.9.1.1002,CISCO,CATALYST 3125X,Switch,Switch
8,1.3.6.1.4.1.9.1.1003,CISCO,TSPRIG2,Not Found,Not Found
9,1.3.6.1.4.1.9.1.1004,CISCO,CATALYST 4928-10GE,Switch,Switch
10,1.3.6.1.4.1.9.1.1005,CISCO,CATALYST 2960-48TT-S,Switch,Switch
11,1.3.6.1.4.1.9.1.1006,CISCO,CATALYST 2960-8TC-S,Switch,Switch
12,1.3.6.1.4.1.9.1.1007,CISCO,ME 3400EG-2CS-A,Switch,Switch
13,1.3.6.1.4.1.9.1.1008,CISCO,ME 3400EG-12CS-M,Switch,Switch
14,1.3.6.1.4.1.9.1.1009,CISCO,ME 3400E-24TS-M,Switch,Switch
15,1.3.6.1.4.1.9.1.101,CISCO,764,Router,Router
16,1.3.6.1.4.1.9.1.1010,CISCO,IPS SSC-5 VIRTUAL,Virtual Machine,Virtual Machine
17,1.3.6.1.4.1.9.1.1011,CISCO,SR 520FE,Server,Server
18,1.3.6.1.4.1.9.1.1012,CISCO,SR 520ADSL,Router,Router
19,1.3.6.1.4.1.9.1.1013,CISCO,SR 520ADSLI,Router,Router
20,1.3.6.1.4.1.9.1.1014,CISCO,MWR 2941 DC,Router,Router
21,1.3.6.1.4.1.9.1.1015,CISCO,CATALYST 3560-12PC-S,Switch,Switch
22,1.3.6.1.4.1.9.1.1016,CISCO,CATALYST 2960-48PST-L,Switch,Switch
23,1.3.6.1.4.1.9.1.1017,CISCO,ASR9010,Router,Router
24,1.3.6.1.4.1.9.1.1018,CISCO,ASR9K,Router,Router
25,1.3.6.1.4.1.9.1.1019,CISCO,CATALYST 3560V2-24DC,Switch,Switch
26,1.3.6.1.4.1.9.1.102,CISCO,765 ISDN ACCESS ROUTER,Router,Router
27,1.3.6.1.4.1.9.1.1020,CISCO,CATALYST 3560V2-24TS,Switch,Switch
28,1.3.6.1.4.1.9.1.1021,CISCO,CATALYST 3560V2-24PS,Switch,Switch
29,1.3.6.1.4.1.9.1.1022,CISCO,CATALYST 3750V2-24TS,Switch,Switch
30,1.3.6.1.4.1.9.1.1023,CISCO,CATALYST 3750V2-24PS,Switch,Switch
31,1.3.6.1.4.1.9.1.1024,CISCO,CATALYST 3560V2 48TS,Switch,Switch
32,1.3.6.1.4.1.9.1.1025,CISCO,CATALYST 3560V2-48PS,Switch,Switch
33,1.3.6.1.4.1.9.1.1026,CISCO,CATALYST 3750V2-48TS,Switch,Switch
34,1.3.6.1.4.1.9.1.1027,CISCO,CATALYST 3750V2-48PS,Switch,Switch
35,1.3.6.1.4.1.9.1.1028,CISCO,HWIC CABLED2,Router,Router
36,1.3.6.1.4.1.9.1.1029,CISCO,HWIC CABLE EJ2,Router,Router
37,1.3.6.1.4.1.9.1.103,CISCO,766 ISDN ACCESS ROUTER,Router,Router
38,1.3.6.1.4.1.9.1.1030,CISCO,1430,Switch,Switch
39,1.3.6.1.4.1.9.1.1031,CISCO,AIR 1430,Connector,Connector
40,1.3.6.1.4.1.9.1.1032,CISCO,NAM 2204,Switch,Switch
41,1.3.6.1.4.1.9.1.1033,CISCO,NAM 2220,Switch,Switch
42,1.3.6.1.4.1.9.1.1034,CISCO,AIR-AP1142N-T-K9,Wireless Access Point (WAP),Wireless Access Point (WAP)
43,1.3.6.1.4.1.9.1.1035,CISCO,AIR-AP1142,Wireless Access Point (WAP),Wireless Access Point (WAP)
44,1.3.6.1.4.1.9.1.1036,CISCO,ASR 14000-4S,Router,Router
45,1.3.6.1.4.1.9.1.1037,CISCO,ASR 14000-8S,Router,Router
46,1.3.6.1.4.1.9.1.1038,CISCO,1800 SERIES,Router,Router
47,1.3.6.1.4.1.9.1.1039,CISCO,IPS SSC-5,Firewall,Firewall
48,1.3.6.1.4.1.9.1.104,CISCO,PRO 2520,Switch,Switch
49,1.3.6.1.4.1.9.1.1040,CISCO,887V,Switch,Switch
50,1.3.6.1.4.1.9.1.1041,CISCO,3945,Router,Router
51,1.3.6.1.4.1.9.1.1042,CISCO,3925,Router,Router
52,1.3.6.1.4.1.9.1.1043,CISCO,2951,Router,Router
53,1.3.6.1.4.1.9.1.1044,CISCO,2921,Router,Router
54,1.3.6.1.4.1.9.1.1045,CISCO,2911,Router,Router
55,1.3.6.1.4.1.9.1.1046,CISCO,2901,Router,Router
56,1.3.6.1.4.1.9.1.1047,CISCO,1941,Router,Router
57,1.3.6.1.4.1.9.1.1048,CISCO,SM-ES2-16-P,Switch,Switch
58,1.3.6.1.4.1.9.1.1049,CISCO,ETHERSWITCH MODULE SM-ES3-16-P,Switch,Switch
59,1.3.6.1.4.1.9.1.105,CISCO,PRO 2522,Router,Router
60,1.3.6.1.4.1.9.1.1050,CISCO,ETHERSWITCH MODULE SM-ES3G-16-P,Switch,Switch
61,1.3.6.1.4.1.9.1.1051,CISCO,ETHERSWITCH MODULE SM-ES2-24,Switch,Switch
62,1.3.6.1.4.1.9.1.1052,CISCO,ETHERSWITCH MODULE SM-ES2-24-P,Switch,Switch
63,1.3.6.1.4.1.9.1.1053,CISCO,ETHERSWITCH MODULE SM-ES3-24-P,Switch,Switch
64,1.3.6.1.4.1.9.1.1054,CISCO,ETHERSWITCH MODULE SM-ES3G-24-P,Switch,Switch
65,1.3.6.1.4.1.9.1.1055,CISCO,SMXD2K48ES2SFP,Switch,Switch
66,1.3.6.1.4.1.9.1.1056,CISCO,ETHERSWITCH MODULE SMXD3K48ES2SFPPOE,Switch,Switch
67,1.3.6.1.4.1.9.1.1057,CISCO,ETHERSWITCH MODULE SM-D-ES3G-48-P,Switch,Switch
68,1.3.6.1.4.1.9.1.1058,CISCO,ESW 520 24PK9,Switch,Switch
